iter	MultiClass
0	1.435443941
1	1.222028296
2	1.088179949
3	0.9893881637
4	0.9211187983
5	0.8647275831
6	0.8227738248
7	0.7817961479
8	0.7498985473
9	0.7247141639
10	0.7048254292
11	0.6878192111
12	0.6755711566
13	0.6620594513
14	0.652091771
15	0.6428341924
16	0.6324816784
17	0.624936289
18	0.6175680084
19	0.6104641734
20	0.6054682295
21	0.5998574625
22	0.5945798926
23	0.5890664989
24	0.585120283
25	0.5814125147
26	0.5793059562
27	0.5743988123
28	0.569923183
29	0.5662114522
30	0.5625412793
31	0.5595877705
32	0.557678783
33	0.5543450065
34	0.5525293888
35	0.5501253039
36	0.5472948383
37	0.5445737677
38	0.5407717098
39	0.5383327639
40	0.536008757
41	0.5327874533
42	0.5299989335
43	0.5278811138
44	0.5263274549
45	0.5239269079
46	0.5214497983
47	0.5183445443
48	0.5160168106
49	0.5133591383
50	0.5115043836
51	0.5084959302
52	0.506409424
53	0.5054538519
54	0.5038269197
55	0.5011993447
56	0.4996604383
57	0.4971120747
58	0.4961217957
59	0.4942602027
60	0.4918555918
61	0.4905085995
62	0.4887195958
63	0.4868508784
64	0.4854268675
65	0.4830369251
66	0.4818243931
67	0.4806121168
68	0.4789883643
69	0.4775886488
70	0.4760156242
71	0.474466882
72	0.4727012677
73	0.4709150949
74	0.4691270914
75	0.4683402557
76	0.4670244225
77	0.466138637
78	0.46473428
79	0.4635498293
80	0.4623679742
81	0.4608960753
82	0.4597414257
83	0.4579315557
84	0.4566290171
85	0.4550150562
86	0.4539666854
87	0.4516538056
88	0.4503476146
89	0.4484429706
90	0.4478387721
91	0.4464055972
92	0.4457622802
93	0.4442516487
94	0.4430444199
95	0.4418930404
96	0.4404231701
97	0.4388332863
98	0.437655269
99	0.436367242
100	0.4353134969
101	0.4339227733
102	0.4325549805
103	0.4312028207
104	0.4303951533
105	0.4288229274
106	0.4281492694
107	0.4274320006
108	0.4265009954
109	0.4254522534
110	0.4245403904
111	0.4235920186
112	0.4224340848
113	0.4212089507
114	0.420682304
115	0.4196907929
116	0.4186577237
117	0.4181633087
118	0.4168601899
119	0.4155831725
120	0.4144029202
121	0.4137464073
122	0.4127688911
123	0.4119034513
124	0.4111000939
125	0.4102328517
126	0.409526255
127	0.4087534553
128	0.4075546035
129	0.4066832116
130	0.4058537703
131	0.4052932359
132	0.404382962
133	0.4033255152
134	0.4022423034
135	0.4015190776
136	0.4010123566
137	0.400451875
138	0.3998144516
139	0.3991332274
140	0.3983646951
141	0.3970552315
142	0.3956744488
143	0.3946242997
144	0.3936907264
145	0.3930895438
146	0.3917761169
147	0.3914750697
148	0.3906900901
149	0.3900050718
150	0.3895145127
151	0.3888022803
152	0.3882378774
153	0.3873629236
154	0.3865226414
155	0.3853875049
156	0.3847268268
157	0.383510595
158	0.3830759581
159	0.3824598566
160	0.3814469879
161	0.3805464966
162	0.3797030667
163	0.3790133664
164	0.3785719835
165	0.3778731769
166	0.3772270822
167	0.3759908315
168	0.3754031667
169	0.3747730392
170	0.3740023222
171	0.3735700017
172	0.3723623743
