iter	Passed	Remaining
0	96	95967
1	172	85902
2	252	83925
3	323	80613
4	396	78960
5	473	78438
6	549	77895
7	624	77443
8	697	76843
9	775	76742
10	847	76221
11	925	76170
12	1010	76728
13	1094	77116
14	1181	77606
15	1266	77886
16	1350	78062
17	1441	78664
18	1525	78744
19	1618	79294
20	1711	79800
21	1806	80328
22	1892	80391
23	1981	80562
24	2122	82762
25	2204	82573
26	2295	82739
27	2390	82985
28	2476	82913
29	2561	82817
30	2655	82996
31	2743	82981
32	2837	83137
33	2929	83220
34	3019	83256
35	3121	83591
36	3210	83554
37	3302	83609
38	3387	83462
39	3475	83404
40	3565	83391
41	3656	83414
42	3745	83359
43	3834	83317
44	3942	83678
45	4041	83810
46	4126	83673
47	4214	83590
48	4307	83606
49	4398	83573
50	4486	83476
51	4573	83379
52	4658	83241
53	4749	83198
54	4841	83185
55	4929	83101
56	5015	82976
57	5098	82812
58	5189	82775
59	5278	82692
60	5362	82554
61	5447	82422
62	5532	82277
63	5612	82080
64	5701	82015
65	5790	81946
66	5881	81902
67	5971	81847
68	6065	81843
69	6152	81735
70	6238	81633
71	6328	81573
72	6418	81501
73	6495	81285
74	6583	81195
75	6670	81097
76	6749	80904
77	6828	80711
78	6910	80561
79	6987	80351
80	7070	80221
81	7163	80191
82	7255	80154
83	7333	79965
84	7414	79812
85	7497	79687
86	7577	79519
87	7657	79362
88	7740	79228
89	7823	79101
90	7906	78976
91	7981	78772
92	8071	78718
93	8156	78610
94	8234	78448
95	8309	78249
96	8384	78054
97	8463	77898
98	8541	77740
99	8626	77639
100	8716	77586
101	8790	77386
102	8874	77288
103	8951	77124
104	9030	76970
105	9107	76815
106	9189	76692
107	9273	76590
108	9354	76468
109	9444	76417
110	9518	76236
111	9599	76107
112	9684	76021
113	9804	76200
114	9920	76343
115	9995	76168
116	10075	76040
117	10157	75923
118	10236	75784
119	10318	75670
120	10391	75491
121	10472	75367
122	10549	75219
123	10629	75091
124	10713	74997
125	10792	74860
126	10877	74768
127	10960	74668
128	11038	74529
129	11117	74402
130	11198	74287
131	11281	74187
132	11359	74051
133	11435	73903
134	11510	73749
135	11597	73675
136	11679	73574
137	11762	73473
138	11847	73386
139	11938	73335
140	12017	73210
141	12094	73075
142	12172	72949
143	12249	72819
144	12333	72724
145	12418	72641
146	12495	72506
147	12584	72447
148	12660	72309
149	12741	72202
150	12819	72075
151	12897	71953
152	12980	71859
153	13058	71735
154	13145	71663
155	13227	71565
156	13310	71469
157	13381	71309
158	13459	71190
159	13534	71056
160	13607	70912
161	13685	70791
162	13759	70655
163	13841	70559
164	13917	70430
165	13997	70325
166	14081	70238
167	14158	70117
168	14244	70042
169	14321	69921
170	14400	69812
171	14484	69727
172	14562	69612
173	14637	69486
174	14720	69397
175	14794	69264
176	14882	69198
177	14953	69056
178	15033	68953
179	15117	68867
180	15204	68799
181	15290	68721
182	15365	68600
183	15451	68524
184	15531	68423
185	15615	68339
186	15691	68219
187	15770	68114
188	15853	68028
189	15935	67934
190	16016	67840
191	16091	67716
192	16169	67609
193	16244	67489
194	16329	67413
195	16412	67324
196	16490	67216
197	16564	67092
198	16646	67002
199	16722	66891
200	16805	66804
201	16883	66696
202	16958	66582
203	17040	66489
204	17120	66395
205	17204	66314
206	17278	66191
207	17356	66087
208	17439	66003
209	17529	65945
210	17607	65839
211	17680	65716
212	17755	65604
213	17840	65527
214	17915	65412
215	17996	65320
216	18075	65223
217	18167	65169
218	18253	65097
219	18331	64993
220	18407	64884
221	18486	64786
222	18563	64679
223	18639	64573
224	18718	64474
225	18795	64370
226	18876	64279
227	18959	64196
228	19039	64102
229	19116	63998
230	19195	63903
231	19280	63826
232	19363	63740
233	19442	63643
234	19518	63539
235	19603	63463
236	19684	63372
237	19763	63275
238	19838	63168
239	19922	63087
240	20000	62988
241	20079	62892
242	20162	62811
243	20240	62713
244	20318	62614
245	20397	62519
246	20469	62404
247	20547	62306
248	20634	62233
249	20715	62145
250	20794	62052
251	20877	61970
252	20957	61877
253	21040	61795
254	21116	61692
255	21194	61596
256	21274	61506
257	21354	61415
258	21429	61310
259	21514	61232
260	21589	61127
261	21663	61020
262	21735	60909
263	21820	60833
264	21898	60738
265	21984	60662
266	22060	60563
267	22136	60462
268	22214	60366
269	22298	60287
270	22374	60189
271	22453	60095
272	22528	59994
273	22605	59895
274	22687	59813
275	22773	59738
276	22853	59651
277	22940	59578
278	23017	59483
279	23097	59394
280	23172	59291
281	23249	59196
282	23324	59094
283	23400	58994
284	23478	58901
285	23558	58814
286	23635	58718
287	23767	58757
288	23844	58663
289	23921	58565
290	23998	58469
291	24078	58381
292	24152	58279
293	24232	58191
294	24309	58095
295	24382	57991
296	24466	57912
297	24544	57820
298	24630	57744
299	24709	57654
300	24792	57575
301	24875	57494
302	24955	57406
303	25039	57328
304	25119	57239
305	25198	57149
306	25276	57058
307	25367	56994
308	25454	56923
309	25532	56829
310	25614	56746
311	25699	56671
312	25775	56574
313	25858	56493
314	25936	56401
315	26022	56326
316	26100	56236
317	26177	56141
318	26253	56046
319	26330	55953
320	26413	55871
321	26500	55799
322	26581	55714
323	26661	55626
324	26741	55540
325	26821	55454
326	26900	55364
327	26985	55288
328	27064	55198
329	27146	55114
330	27224	55024
331	27298	54925
332	27381	54845
333	27460	54757
334	27533	54655
335	27609	54560
336	27688	54473
337	27768	54387
338	27851	54306
339	27930	54218
340	28016	54142
341	28107	54078
342	28191	54000
343	28269	53908
344	28342	53809
345	28418	53716
346	28492	53617
347	28572	53532
348	28646	53434
349	28722	53341
350	28798	53248
351	28871	53149
352	28951	53064
353	29039	52992
354	29118	52906
355	29199	52820
356	29278	52734
357	29358	52647
358	29431	52550
359	29517	52475
360	29598	52391
361	29675	52300
362	29756	52217
363	29847	52151
364	29922	52056
365	30002	51970
366	30083	51887
367	30162	51800
368	30239	51710
369	30316	51619
370	30401	51543
371	30474	51446
372	30560	51371
373	30635	51277
374	30716	51193
375	30789	51096
376	30873	51019
